target,n_imputed,rmse_base,rmse_overlay,rmse_diff_base_minus_overlay,mae_base,mae_overlay,mae_diff_base_minus_overlay,r2_base,r2_overlay,r2_diff_overlay_minus_base
c6ltr,960,0.6451505179475941,0.7134692797370399,-0.06831876178944574,0.5313068540097448,0.6187263198662549,-0.08741946585651017,0.43563167413782755,0.3097743608142455,-0.12585731332358208
c7ltr,1194,0.6530529397781752,0.692446182828066,-0.03939324304989078,0.5430435460603716,0.597693648083226,-0.05465010202285436,0.43289265238490393,0.36241139374179177,-0.07048125864311217
c8ltr,1284,0.6756526999331665,0.6795869528100602,-0.003934252876893751,0.5625720931248989,0.5844749987322686,-0.021902905607369738,0.387456083303678,0.3803017598812529,-0.007154323422425057
t1ltr,1314,0.660674880232701,0.690578083515462,-0.02990320328276097,0.5605110508195569,0.5974789172569729,-0.03696786643741601,0.41407739068650207,0.35983747071278327,-0.0542399199737188
t2ltr,1348,0.6818177276817785,0.7050756488175378,-0.023257921135759307,0.5805717053566161,0.6124564846784142,-0.03188477932179812,0.3848240764584041,0.3421389355305511,-0.04268514092785303
t3ltr,1352,0.6752571194063957,0.703938619320451,-0.02868149991405533,0.5593850867211069,0.6123562701178725,-0.05297118339676565,0.3989774958793325,0.34683639984933734,-0.05214109602999517
t4ltr,1367,0.636920696830763,0.6490412362876908,-0.012120539456927815,0.517209928657181,0.5561626288595649,-0.03895270020238395,0.42674107726654775,0.4047153548011434,-0.02202572246540435
t5ltr,1405,0.6263100989575855,0.5922603896873525,0.034049709270232986,0.4947227318648554,0.4945172917826956,0.00020544008215978016,0.4024438019703299,0.46565062916874944,0.06320682719841952
t6ltr,1466,0.5835250970940079,0.5625457262650498,0.020979370828958066,0.45944671206542204,0.46192424345664973,-0.002477531391227694,0.4597084062093223,0.4978600318027697,0.038151625593447425
t7ltr,1505,0.5905476956693426,0.5436294690236273,0.04691822664571532,0.4565325390114341,0.4395317012487456,0.017000837762688514,0.42712364775601064,0.5145361243236087,0.0874124765675981
t8ltr,1555,0.5469692074584922,0.5292860899819845,0.017683117476507748,0.4239690961849268,0.4288867600214251,-0.004917663836498332,0.47457893124342654,0.5080027342008364,0.033423802957409876
t9ltr,1593,0.5145748915643107,0.5000483192654365,0.014526572298874219,0.37466206583437056,0.3919884698864187,-0.01732640405204816,0.5272555075335514,0.553570135757598,0.02631462822404651
t10ltr,1618,0.5179059034658939,0.49080638155653633,0.027099521909357605,0.3713545260389136,0.38066438316483836,-0.009309857125924748,0.5010373265735053,0.5518878320418594,0.050850505468354124
t11ltr,1639,0.48092898544014306,0.47343603498068815,0.007492950459454917,0.3389874827821328,0.35728921525406493,-0.01830173247193212,0.544271615405077,0.5583616334089725,0.014090018003895532
t12ltr,1660,0.46027283150505366,0.4424493821219953,0.017823449383058354,0.31388304987754,0.324038411710546,-0.010155361833005971,0.5551308792767351,0.5889177108544469,0.033786831577711784
l1ltr,1673,0.4498558646461785,0.4340695563365778,0.015786308309600705,0.302436933769648,0.31080865092270493,-0.008371717153056957,0.5681463595753987,0.5979237075543082,0.02977734797890952
l2ltr,1684,0.47873125167569247,0.4461938105629195,0.03253744111277296,0.33765321159115913,0.3180934764326477,0.01955973515851145,0.5347404836955122,0.5958349181521791,0.06109443445666696
l3ltr,1691,0.516835955255878,0.4884181890490247,0.028417766206853323,0.3842660967918198,0.36590648141823434,0.018359615373585436,0.4802066165754405,0.5357959054132846,0.055589288837844086
l4ltr,1691,0.517338035922764,0.4980361101005824,0.019301925822181543,0.3887418186780019,0.3785016129871732,0.010240205690828674,0.48304626416079866,0.5209018177470638,0.037855553586265134
